ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
32,gemini-1.5-flash,advancements,2024-September-02 18:11:44,2024-September-02 18:11:51,1.496084929,2.649320364,4.145406485,5,625,656,2.315642118,100.0%,false,None,
33,gemini-1.5-flash,advancements,2024-September-02 18:11:54,2024-September-02 18:12:02,1.818707943,2.810668707,4.629377842,5,625,870,2.430140018,100.0%,false,None,
34,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:12:15,2024-September-02 18:12:24,1.895800114,2.850841999,4.746643543,10,531,584,2.946198225,100.0%,false,None,
35,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:12:27,2024-September-02 18:12:35,1.712703943,2.864048481,4.576753616,10,531,516,3.126820564,100.0%,false,None,
36,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:12:38,2024-September-02 18:12:46,1.756864786,2.656797409,4.413662672,0,531,535,2.861483335,100.0%,false,None,
36,mistral-small,hyperloop_specifications,2024-September-02 18:12:38,2024-September-02 18:12:47,1.75807786,2.921559811,4.679639816,10,531,468,2.689431906,100.0%,false,None,
37,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:12:48,2024-September-02 18:12:57,1.988883257,2.906532764,4.895416737,20,531,501,2.700809717,100.0%,false,None,
37,mistral-small,hyperloop_specifications,2024-September-02 18:12:49,2024-September-02 18:12:58,2.082466841,2.746305466,4.828773499,20,531,570,2.727577209,100.0%,false,None,
38,gpt-3.5-turbo,hyperloop_specifications,2024-September-02 18:12:59,2024-September-02 18:13:07,1.803392649,2.75668788,4.560081959,0,531,453,2.719128847,100.0%,false,None,
38,mistral-small,hyperloop_specifications,2024-September-02 18:13:00,2024-September-02 18:13:09,2.129034758,2.678132772,4.807168484,10,531,556,3.087951422,100.0%,false,None,
39,mistral-small,hyperloop_specifications,2024-September-02 18:13:12,2024-September-02 18:13:22,1.980500221,2.864667177,4.845168352,10,531,501,3.135992765,100.0%,false,None,
40,mistral-small,hyperloop_specifications,2024-September-02 18:13:25,2024-September-02 18:13:33,2.060148239,2.85180378,4.911953211,10,531,622,3.075516701,100.0%,false,None,
