ID,MODEL,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,ROWS_PROCESSED,PROMPT_VOLUME,OUTPUT_VOLUME,OUTPUT_DF_VOLUME,LOAD_TO_STAGING_TIME,CORRECTNESS,ERROR_ENCOUNTERED,ERROR_TYPE,ERROR_MESSAGE
132,gpt-4,2024-September-02 12:08:18,2024-September-02 12:08:41,20.392546177,2.81626606,23.208813429,50,570,589,0,1.12390542,100.0%,false,None,
133,mistral-small,2024-September-02 12:09:24,2024-September-02 12:09:32,5.364539385,2.79811883,8.162659168,50,570,466,0,1.210487366,100.0%,false,None,
134,mistral-small,2024-September-02 12:09:37,2024-September-02 12:09:42,0,0,0,50,0,0,0,1.150439024,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
135,mistral-small,2024-September-02 12:09:47,2024-September-02 12:09:55,5.08895278,2.758840561,7.847797155,50,570,482,0,1.315037966,100.0%,false,None,
136,mistral-small,2024-September-02 12:10:00,2024-September-02 12:10:04,0,0,0,50,0,0,0,1.273543358,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
137,mistral-small,2024-September-02 12:10:09,2024-September-02 12:10:13,0,0,0,50,0,0,0,1.204356909,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
138,mistral-small,2024-September-02 12:10:18,2024-September-02 12:10:24,0,0,0,50,0,0,0,1.160843611,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
139,mistral-small,2024-September-02 12:10:29,2024-September-02 12:10:34,0,0,0,50,0,0,0,1.199668407,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
140,mistral-small,2024-September-02 12:10:39,2024-September-02 12:10:47,5.362049103,2.779391289,8.141441584,50,570,469,0,1.209529638,100.0%,false,None,
141,mistral-small,2024-September-02 12:10:52,2024-September-02 12:10:56,0,0,0,50,0,0,0,1.2546556,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
142,mistral-small,2024-September-02 12:11:01,2024-September-02 12:11:09,4.661272287,3.071475744,7.732749224,50,570,472,0,1.182745695,100.0%,false,None,
143,gemini-1.5-flash,2024-September-02 12:11:53,2024-September-02 12:11:59,3.785394669,2.882835627,6.668231487,50,570,494,0,1.360545397,100.0%,false,None,
144,gemini-1.5-flash,2024-September-02 12:12:04,2024-September-02 12:12:11,3.868230104,2.794577599,6.662808418,50,570,514,0,1.098365307,100.0%,false,None,
145,gemini-1.5-flash,2024-September-02 12:12:16,2024-September-02 12:12:22,3.669472218,2.796994925,6.466468334,50,570,506,0,1.058856964,100.0%,false,None,
146,gemini-1.5-flash,2024-September-02 12:12:27,2024-September-02 12:12:34,3.651278973,2.852656126,6.503936291,50,570,516,0,1.357935667,100.0%,false,None,
147,gemini-1.5-flash,2024-September-02 12:12:39,2024-September-02 12:12:42,0,0,0,50,0,0,0,1.144263744,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
148,gemini-1.5-flash,2024-September-02 12:12:47,2024-September-02 12:12:53,3.439577341,2.857577562,6.297155619,50,570,494,0,1.165301323,100.0%,false,None,
149,gemini-1.5-flash,2024-September-02 12:12:58,2024-September-02 12:13:05,4.059508085,2.808439493,6.867948294,50,570,506,0,1.125501633,100.0%,false,None,
150,gemini-1.5-flash,2024-September-02 12:13:10,2024-September-02 12:13:16,3.652374268,2.788328171,6.440703392,50,570,514,0,1.271861076,100.0%,false,None,
151,gemini-1.5-flash,2024-September-02 12:13:21,2024-September-02 12:13:25,0,0,0,50,0,0,0,1.147344112,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
152,gemini-1.5-flash,2024-September-02 12:13:29,2024-September-02 12:13:33,0,0,0,50,0,0,0,1.177431822,0,true,ValueError,"not enough values to unpack (expected 4, got 3)"
